#locus_id	chrom	start	end	strand	genome_build	l1_family	cancer_type	n_samples_detected	coordinate_confidence
L1SOI-chr10-109745700-109745701--	chr10	109745700	109745701	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-104195042-104195043-+	chr13	104195042	104195043	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-064409925-064409926-+	chr16	64409925	64409926	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-049378549-049378550--	chr18	49378549	49378550	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-137388557-137388558-unknown	chr2	137388557	137388558	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-016299020-016299021--	chr7	16299020	16299021	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-052127068-052127069--	chr7	52127068	52127069	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-086101351-086101356-+	chr7	86101351	86101356	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-122171551-122171552-+	chr7	122171551	122171552	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-225681398-225681400-+	chr2	225681398	225681400	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-050935875-050935876-+	chrX	50935875	50935876	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-210925909-210925910-+	chr1	210925909	210925910	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-037284190-037284191-+	chr11	37284190	37284191	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr15-057332404-057332405--	chr15	57332404	57332405	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-048743938-048743939-+	chr16	48743938	48743939	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-061678181-061678182--	chr16	61678181	61678182	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-205747468-205747469-+	chr2	205747468	205747469	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-212273393-212273394--	chr2	212273393	212273394	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-082334727-082334740--	chr3	82334727	82334740	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-111586206-111586207--	chr3	111586206	111586207	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-115831529-115831530--	chr3	115831529	115831530	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-167613107-167613108--	chr3	167613107	167613108	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-094984545-094984546--	chr6	94984545	94984546	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-084843256-084843257-+	chr8	84843256	84843257	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-115735166-115735167-+	chr8	115735166	115735167	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-118273974-118273975--	chr8	118273974	118273975	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-122085825-122085826-+	chr8	122085825	122085826	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-014301851-014301852--	chr1	14301851	14301852	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-037778346-037778347-+	chr1	37778346	37778347	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-075430907-075430917-+	chr1	75430907	75430917	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-079147939-079147940--	chr1	79147939	79147940	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-167278822-167278823--	chr1	167278822	167278823	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-174439178-174439179-+	chr1	174439178	174439179	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-175892148-175892149--	chr1	175892148	175892149	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-176744395-176744396--	chr1	176744395	176744396	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-187127246-187127247-+	chr1	187127246	187127247	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-187781683-187781684--	chr1	187781683	187781684	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-188220956-188220957--	chr1	188220956	188220957	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-189009660-189009661-+	chr1	189009660	189009661	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-193812855-193812856-+	chr1	193812855	193812856	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-194303913-194303914--	chr1	194303913	194303914	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-007362587-007362588--	chr10	7362587	7362588	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-010604985-010604986--	chr10	10604985	10604986	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-021240562-021240570-+	chr10	21240562	21240570	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-023920939-023920940--	chr10	23920939	23920940	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-043179774-043179775-+	chr10	43179774	43179775	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-050393722-050393723--	chr10	50393722	50393723	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-055173268-055173269-+	chr10	55173268	55173269	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-058350637-058350638-+	chr10	58350637	58350638	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-106864872-106864873--	chr10	106864872	106864873	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-107416396-107416405-+	chr10	107416396	107416405	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-120011943-120011944--	chr10	120011943	120011944	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-029402060-029402061-+	chr11	29402060	29402061	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-058120934-058120935--	chr11	58120934	58120935	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-098091244-098091245--	chr11	98091244	98091245	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-119461610-119461611--	chr11	119461610	119461611	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-122021667-122021668-+	chr11	122021667	122021668	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-126832599-126832600-+	chr11	126832599	126832600	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-003879313-003879314--	chr12	3879313	3879314	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-018141474-018141475-+	chr12	18141474	18141475	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-031325682-031325686--	chr12	31325682	31325686	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-089378876-089378877-+	chr12	89378876	89378877	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-095240888-095240916--	chr12	95240888	95240916	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-129030496-129030497--	chr12	129030496	129030497	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-129038557-129038563-+	chr12	129038557	129038563	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-051156397-051156398-+	chr13	51156397	51156398	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-096832099-096832100--	chr13	96832099	96832100	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-106216490-106216491--	chr13	106216490	106216491	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-112707188-112707189-+	chr13	112707188	112707189	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-027131100-027131101--	chr14	27131100	27131101	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-040922662-040922663--	chr14	40922662	40922663	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-046099344-046099359--	chr14	46099344	46099359	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-057628526-057628527-+	chr14	57628526	57628527	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-058119038-058119039--	chr14	58119038	58119039	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-080838301-080838302-+	chr14	80838301	80838302	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-082336523-082336524-+	chr14	82336523	82336524	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr15-055066353-055066356--	chr15	55066353	55066356	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr15-082241077-082241078-+	chr15	82241077	82241078	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-034653523-034653524--	chr16	34653523	34653524	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr17-012257919-012257920--	chr17	12257919	12257920	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr17-013868008-013868009-+	chr17	13868008	13868009	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr17-068831141-068831142--	chr17	68831141	68831142	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-037791580-037791581--	chr18	37791580	37791581	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-042759413-042759414--	chr18	42759413	42759414	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-053807976-053807977-+	chr18	53807976	53807977	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-062387488-062387489--	chr18	62387488	62387489	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-066425645-066425646--	chr18	66425645	66425646	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-070402564-070402565-+	chr18	70402564	70402565	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-075963686-075963691-+	chr18	75963686	75963691	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr19-015621440-015621441-unknown	chr19	15621440	15621441	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr19-029637279-029637284--	chr19	29637279	29637284	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr19-034329186-034329192-+	chr19	34329186	34329192	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-006439278-006439280--	chr2	6439278	6439280	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-016785892-016785893-+	chr2	16785892	16785893	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-018757690-018757691--	chr2	18757690	18757691	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-029411969-029411970-+	chr2	29411969	29411970	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-051075715-051075716-+	chr2	51075715	51075716	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-075479581-075479582-+	chr2	75479581	75479582	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-079794948-079794949-+	chr2	79794948	79794949	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-080117199-080117202--	chr2	80117199	80117202	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-126031013-126031014--	chr2	126031013	126031014	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-129834781-129834782-+	chr2	129834781	129834782	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-140878435-140878444--	chr2	140878435	140878444	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-141111061-141111062--	chr2	141111061	141111062	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-142273544-142273545-+	chr2	142273544	142273545	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-154417324-154417328-+	chr2	154417324	154417328	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-186683028-186683029-+	chr2	186683028	186683029	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-195429031-195429032-+	chr2	195429031	195429032	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-213678913-213678914--	chr2	213678913	213678914	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-222496484-222496485-+	chr2	222496484	222496485	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-006158498-006158499-unknown	chr20	6158498	6158499	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-022013086-022013087-+	chr20	22013086	22013087	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-053285338-053285339-+	chr20	53285338	53285339	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-058921002-058921003--	chr20	58921002	58921003	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr21-021373311-021373312--	chr21	21373311	21373312	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr21-041923010-041923011--	chr21	41923010	41923011	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-023141710-023141711-+	chr3	23141710	23141711	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-024603101-024603102--	chr3	24603101	24603102	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-028547383-028547384--	chr3	28547383	28547384	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-028939581-028939582-+	chr3	28939581	28939582	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-033356951-033356952--	chr3	33356951	33356952	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-054628779-054628780--	chr3	54628779	54628780	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-083055256-083055257--	chr3	83055256	83055257	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-083253881-083253882-+	chr3	83253881	83253882	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-094389626-094389641-+	chr3	94389626	94389641	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-094415058-094415059--	chr3	94415058	94415059	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-097328989-097328990--	chr3	97328989	97328990	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-104677088-104677089-+	chr3	104677088	104677089	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-143648980-143648981--	chr3	143648980	143648981	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-162130376-162130377--	chr3	162130376	162130377	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-170375619-170375620-+	chr3	170375619	170375620	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-175825413-175825414--	chr3	175825413	175825414	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-015440196-015440197--	chr4	15440196	15440197	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-023790512-023790521-+	chr4	23790512	23790521	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-024051138-024051139--	chr4	24051138	24051139	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-028992732-028992733-unknown	chr4	28992732	28992733	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-029518649-029518652-+	chr4	29518649	29518652	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-049045393-049045395--	chr4	49045393	49045395	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-099713481-099713482-+	chr4	99713481	99713482	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-013188321-013188322--	chr5	13188321	13188322	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-015677912-015677913-+	chr5	15677912	15677913	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-034564050-034564051--	chr5	34564050	34564051	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-035596662-035596663-+	chr5	35596662	35596663	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-042696598-042699828-+	chr5	42696598	42699828	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-044437140-044437141-+	chr5	44437140	44437141	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-083863885-083863886-+	chr5	83863885	83863886	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-105661411-105661413--	chr5	105661411	105661413	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-113132077-113132078-+	chr5	113132077	113132078	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-114056776-114056779-+	chr5	114056776	114056779	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-119318721-119318722--	chr5	119318721	119318722	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-122988339-122988340-+	chr5	122988339	122988340	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-143068469-143068470--	chr5	143068469	143068470	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-146947640-146947641--	chr5	146947640	146947641	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-164594981-164594982--	chr5	164594981	164594982	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-172778159-172778160--	chr5	172778159	172778160	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-022905591-022905592--	chr6	22905591	22905592	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-023813081-023813082--	chr6	23813081	23813082	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-028477866-028477867--	chr6	28477866	28477867	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-033914340-033914341--	chr6	33914340	33914341	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-051952523-051952524-+	chr6	51952523	51952524	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-058177470-058177471-+	chr6	58177470	58177471	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-065188958-065188959--	chr6	65188958	65188959	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-076149495-076149496-+	chr6	76149495	76149496	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-077942948-077942958-+	chr6	77942948	77942958	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-081288886-081288887--	chr6	81288886	81288887	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-094045781-094045782--	chr6	94045781	94045782	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-102222179-102222180--	chr6	102222179	102222180	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-124585666-124585667-+	chr6	124585666	124585667	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-159962549-159962550-+	chr6	159962549	159962550	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-169601676-169601677-+	chr6	169601676	169601677	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-014065117-014065118-unknown	chr7	14065117	14065118	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-015006735-015006736--	chr7	15006735	15006736	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-019837753-019837790--	chr7	19837753	19837790	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-025334616-025334617--	chr7	25334616	25334617	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-097011260-097011261-+	chr7	97011260	97011261	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-103368299-103368300--	chr7	103368299	103368300	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-120571038-120571041--	chr7	120571038	120571041	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-124353494-124353495--	chr7	124353494	124353495	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-141898316-141898317--	chr7	141898316	141898317	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-004509646-004509647--	chr8	4509646	4509647	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-005222053-005222054--	chr8	5222053	5222054	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-010331064-010331065--	chr8	10331064	10331065	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-013991154-013991155--	chr8	13991154	13991155	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-024667199-024667200-+	chr8	24667199	24667200	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-031790579-031790580--	chr8	31790579	31790580	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-034500164-034500165--	chr8	34500164	34500165	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-049687155-049687156-+	chr8	49687155	49687156	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-053822189-053822190--	chr8	53822189	53822190	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-057745510-057745511--	chr8	57745510	57745511	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-059094404-059094414-+	chr8	59094404	59094414	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-062290820-062290821--	chr8	62290820	62290821	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-069579700-069579701--	chr8	69579700	69579701	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-072209175-072209176--	chr8	72209175	72209176	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-077951256-077951257--	chr8	77951256	77951257	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-112555475-112555476-+	chr8	112555475	112555476	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-114719064-114719065-+	chr8	114719064	114719065	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-132099612-132099613-+	chr8	132099612	132099613	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-009582969-009582970-+	chr9	9582969	9582970	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-086783622-086783623--	chr9	86783622	86783623	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-104528848-104528858--	chr9	104528848	104528858	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-118877236-118877237--	chr9	118877236	118877237	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-121402193-121402194--	chr9	121402193	121402194	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-070215426-070215427-+	chrX	70215426	70215427	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-075117329-075117330-+	chrX	75117329	75117330	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-089672819-089672820-+	chrX	89672819	89672820	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-105400691-105400692--	chrX	105400691	105400692	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-109923889-109923890--	chrX	109923889	109923890	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-128395450-128395451-+	chrX	128395450	128395451	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-137589787-137589788--	chrX	137589787	137589788	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-090838271-090838272--	chr1	90838271	90838272	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-107638749-107638751-+	chr1	107638749	107638751	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-115686422-115686423--	chr1	115686422	115686423	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-216143614-216143623--	chr1	216143614	216143623	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-016394273-016394274-+	chr10	16394273	16394274	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-122136993-122136994--	chr11	122136993	122136994	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-096184249-096184250-+	chr14	96184249	96184250	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr15-036262368-036262369--	chr15	36262368	36262369	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr18-039208290-039208300-+	chr18	39208290	39208300	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-034669216-034669217-+	chr2	34669216	34669217	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-076629469-076629470-+	chr2	76629469	76629470	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-108345497-108345498--	chr2	108345497	108345498	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-127306549-127306551--	chr2	127306549	127306551	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-199049904-199049905-+	chr2	199049904	199049905	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-059440117-059440119--	chr20	59440117	59440119	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-063059762-063059763--	chr3	63059762	63059763	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-012267576-012267577-+	chr4	12267576	12267577	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-176621353-176621358-+	chr4	176621353	176621358	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-015865919-015865920--	chr5	15865919	15865920	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-037892295-037892296-+	chr5	37892295	37892296	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-103360961-103360962--	chr6	103360961	103360962	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-133502546-133502547--	chr6	133502546	133502547	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-048759450-048759451--	chr7	48759450	48759451	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-081885091-081885092--	chr7	81885091	81885092	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-080373465-080373466-+	chr8	80373465	80373466	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-123423394-123423395-+	chr8	123423394	123423395	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-140365754-140365755-+	chr8	140365754	140365755	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-121749009-121749014--	chrX	121749009	121749014	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-148375960-148375971--	chrX	148375960	148375971	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-123681571-123681572-+	chr11	123681571	123681572	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-027220085-027220086-+	chr13	27220085	27220086	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-047943722-047943723-+	chr13	47943722	47943723	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-053826388-053826389-+	chr13	53826388	53826389	+	hg19	L1HS	Eso-AdenoCA	1	high
